date,input,output,cache_read,cache_create,total_plan,total_api,cost_plan,cost_api,pct_plan,time_hours,burn_cost_12h,burn_tokens_per_hour
2025-11-13,13063,166424,18842908,1394267,179487,20416662,2.54,13.39,26.6,5.7,5.37,31672
2025-11-14,22223,185250,24816417,2257786,207473,27281676,2.85,18.74,30.7,7.3,4.69,28498
2025-11-15,43786,168350,25089929,2096877,212136,27398942,2.66,18.01,31.4,5.3,6.07,40358
2025-11-16,17178,198341,29093278,2072723,215519,31381520,3.03,19.52,31.9,5.7,6.42,38084
2025-11-17,11894,164400,19717657,2213330,176294,22107281,2.5,16.71,26.1,4.3,7.03,41256
2025-11-23,8169,156254,31407437,2088326,164423,33660186,2.37,19.62,24.4,6.7,4.24,24501
2025-11-24,32301,109557,51270286,4623208,141858,56035352,1.74,34.45,21.0,7.7,2.72,18503
2025-11-25,45916,136091,110246218,8920870,182007,119349095,2.18,70.78,27.0,7.8,3.36,23376
2025-11-26,27291,24381,78112212,8172191,51672,86336075,0.45,90.48,7.7,7.2,0.74,7166
2025-11-27,118850,151551,152404293,10170229,270401,162844923,2.63,144.01,40.1,13.5,2.35,20103
2025-11-28,39652,286808,137087887,7158871,326460,144573218,4.42,120.38,48.4,8.0,6.66,40993
2025-11-29,52184,237167,136364075,8317117,289351,144970543,3.71,123.89,42.9,10.2,4.35,28239
2025-11-30,12079,64012,36857187,2537142,76091,39470420,1.0,35.48,11.3,4.0,2.97,18875
2025-12-01,37414,75693,30685315,1998231,113107,32796653,1.25,28.69,16.8,2.7,5.47,41287
2025-12-02,31291,102081,69929579,7044858,133372,77107809,1.63,81.68,19.8,7.7,2.52,17219
2025-12-03,89697,293638,170044957,11857142,383335,182285434,4.67,166.91,56.8,13.4,4.17,28503
2025-12-04,5300,44247,17311287,1785312,49547,19146146,0.68,20.95,7.3,2.1,3.97,24123
